4; 486% = 0.97; #uncovered = 486; #vertex = 500; #edges = 35251;penalty is 714, down from 737
9; 95% = 0.95; #uncovered = 95; #vertex = 100; #edges = 129;penalty is 105, down from 111
1; 0% = 0.0; #uncovered = 0; #vertex = 200; #edges = 500;penalty is 0, down from 210
9; 452% = 0.9; #uncovered = 452; #vertex = 500; #edges = 74517;penalty is 486, down from 539
1; 0% = 0.0; #uncovered = 0; #vertex = 450; #edges = 161562;penalty is 0, down from 528
9; 8% = 0.57; #uncovered = 8; #vertex = 14; #edges = 19;penalty is 14, down from 23
4; 493% = 0.99; #uncovered = 493; #vertex = 500; #edges = 16237;penalty is 592, down from 600
9; 243% = 0.93; #uncovered = 243; #vertex = 261; #edges = 10726;penalty is 422, down from 456
9; 221% = 0.88; #uncovered = 221; #vertex = 250; #edges = 18518;penalty is 320, down from 356
9; 3% = 0.03; #uncovered = 3; #vertex = 100; #edges = 4877;penalty is 3, down from 116
9; 95% = 0.95; #uncovered = 95; #vertex = 100; #edges = 104;penalty is 190, down from 200
4; 500% = 1.0; #uncovered = 500; #vertex = 501; #edges = 2607;penalty is 549, down from 550
3; 100% = 1.0; #uncovered = 100; #vertex = 100; #edges = 119;penalty is 120, down from 120
9; 276% = 0.92; #uncovered = 276; #vertex = 300; #edges = 419;penalty is 492, down from 540
1; 0% = 0.0; #uncovered = 0; #vertex = 100; #edges = 4921;penalty is 0, down from 109
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 249500;penalty is 0, down from 500
9; 26% = 0.05; #uncovered = 26; #vertex = 500; #edges = 82123;penalty is 43, down from 717
9; 40% = 0.4; #uncovered = 40; #vertex = 100; #edges = 481;penalty is 40, down from 100
3; 500% = 1.0; #uncovered = 500; #vertex = 500; #edges = 148809;penalty is 700, down from 700
9; 31% = 0.53; #uncovered = 31; #vertex = 58; #edges = 55;penalty is 34, down from 65
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 190183;penalty is 0, down from 512
4; 478% = 0.96; #uncovered = 478; #vertex = 500; #edges = 15416;penalty is 482, down from 507
1; 0% = 0.0; #uncovered = 0; #vertex = 499; #edges = 123967;penalty is 0, down from 741
4; 485% = 0.97; #uncovered = 485; #vertex = 500; #edges = 24963;penalty is 735, down from 754
2; 5% = 0.01; #uncovered = 5; #vertex = 500; #edges = 124867;penalty is 7, down from 733
9; 31% = 0.53; #uncovered = 31; #vertex = 59; #edges = 55;penalty is 31, down from 59
9; 4% = 0.4; #uncovered = 4; #vertex = 10; #edges = 12;penalty is 4, down from 13
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 199260;penalty is 0, down from 674
9; 44% = 0.88; #uncovered = 44; #vertex = 50; #edges = 628;penalty is 49, down from 56
9; 312% = 0.78; #uncovered = 312; #vertex = 400; #edges = 79782;penalty is 350, down from 450
1; 0% = 0.0; #uncovered = 0; #vertex = 26; #edges = 33;penalty is 0, down from 29
1; 0% = 0.0; #uncovered = 0; #vertex = 365; #edges = 79594;penalty is 0, down from 539
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 124918;penalty is 0, down from 734
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 99810;penalty is 0, down from 786
2; 4% = 0.01; #uncovered = 4; #vertex = 500; #edges = 12;penalty is 6, down from 503
9; 3% = 0.21; #uncovered = 3; #vertex = 14; #edges = 90;penalty is 3, down from 19
9; 431% = 0.86; #uncovered = 431; #vertex = 500; #edges = 59701;penalty is 478, down from 555
9; 2% = 0.4; #uncovered = 2; #vertex = 5; #edges = 6;penalty is 4, down from 7
3; 500% = 1.0; #uncovered = 500; #vertex = 500; #edges = 7372;penalty is 666, down from 666
9; 118% = 0.3; #uncovered = 118; #vertex = 388; #edges = 1927;penalty is 138, down from 472
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 249500;penalty is 0, down from 1000
9; 36% = 0.72; #uncovered = 36; #vertex = 50; #edges = 275;penalty is 53, down from 74
9; 11% = 0.55; #uncovered = 11; #vertex = 20; #edges = 23;penalty is 15, down from 28
2; 4% = 0.01; #uncovered = 4; #vertex = 500; #edges = 124853;penalty is 4, down from 710
1; 0% = 0.0; #uncovered = 0; #vertex = 7; #edges = 9;penalty is 0, down from 9
9; 13% = 0.68; #uncovered = 13; #vertex = 19; #edges = 14;penalty is 13, down from 19
4; 495% = 0.99; #uncovered = 495; #vertex = 500; #edges = 9865;penalty is 518, down from 524
9; 101% = 0.84; #uncovered = 101; #vertex = 120; #edges = 136;penalty is 103, down from 125
4; 98% = 0.98; #uncovered = 98; #vertex = 100; #edges = 410;penalty is 104, down from 106
1; 0% = 0.0; #uncovered = 0; #vertex = 7; #edges = 9;penalty is 0, down from 8
3; 9% = 1.0; #uncovered = 9; #vertex = 9; #edges = 14;penalty is 11, down from 11
2; 2% = 0.01; #uncovered = 2; #vertex = 369; #edges = 67944;penalty is 2, down from 388
9; 4% = 0.4; #uncovered = 4; #vertex = 10; #edges = 14;penalty is 4, down from 10
4; 191% = 0.95; #uncovered = 191; #vertex = 200; #edges = 4144;penalty is 213, down from 223
2; 6% = 0.01; #uncovered = 6; #vertex = 497; #edges = 116;penalty is 7, down from 509
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 619;penalty is 0, down from 600
9; 90% = 0.9; #uncovered = 90; #vertex = 100; #edges = 1982;penalty is 141, down from 159
1; 0% = 0.0; #uncovered = 0; #vertex = 12; #edges = 14;penalty is 0, down from 14
